dataset,k,dimension,trajectoryNumber,height,leafnode,radiusMean,radiusSD,fastest,,,,,,,,,,,,,,,slowest
covtype,10,20,10000,1.75,1.554,0.0471,0.0229,14,3,2,10,9,11,7,4,8,1,13,12,0,15,6,5
covtype,100,20,10000,1.75,1.554,0.0471,0.0229,14,7,9,8,10,3,6,2,12,1,0,4,11,13,15,5
covtype,1000,20,10000,1.75,1.554,0.0471,0.0229,7,14,9,8,10,2,6,4,1,12,0,13,3,11,15,5
covtype,10,20,50000,1.6,1.593,0.0373,0.0183,13,14,3,7,11,10,9,4,8,15,2,1,12,6,0,5
covtype,100,20,50000,1.6,1.593,0.0373,0.0183,7,14,10,9,8,12,3,6,2,11,4,13,1,0,15,5
covtype,1000,20,50000,1.6,1.593,0.0373,0.0183,14,7,10,9,8,12,2,6,4,11,13,1,0,15,3,5
covtype,10,20,100000,1.6363636,1.6152,0.0318,0.0133,13,14,9,10,2,11,3,15,8,7,1,4,12,0,6,5
covtype,100,20,100000,1.6363636,1.6152,0.0318,0.0133,7,14,10,9,8,3,12,2,6,4,11,13,1,0,15,5
covtype,1000,20,100000,1.6363636,1.6152,0.0318,0.0133,7,14,9,10,8,12,2,6,4,1,11,0,13,15,3,5
covtype,10,20,500000,1.5714285,1.5009,0.0212,0.0072,14,13,3,2,15,1,9,4,10,11,7,8,12,0,6,5
covtype,100,20,500000,1.5714285,1.5009,0.0212,0.0072,7,9,10,14,8,3,12,2,6,4,1,13,11,0,15,5
covtype,1000,20,500000,1.5714285,1.5009,0.0212,0.0072,14,7,10,9,8,12,6,2,13,11,4,0,1,15,3,5
covtype,10,30,1000,1.8,1.59,0.1498,0.0586,14,2,3,4,10,9,7,8,11,6,12,1,13,0,15,5
covtype,100,30,1000,1.8,1.59,0.1498,0.0586,14,7,3,8,9,6,2,4,1,13,11,15,0,12,10,5
covtype,1000,30,1000,1.8,1.59,0.1498,0.0586,6,10,8,7,9,14,13,2,4,5,0,1,3,15,12,11
covtype,10,30,5000,2.2857144,1.548,0.0546,0.0294,2,3,1,7,9,8,10,11,14,4,15,0,12,6,13,5
covtype,100,30,5000,2.2857144,1.548,0.0546,0.0294,14,7,9,8,3,10,2,6,12,4,1,11,13,15,0,5
covtype,1000,30,5000,2.2857144,1.548,0.0546,0.0294,14,7,9,8,6,10,2,4,1,13,3,15,0,12,11,5
covtype,10,30,10000,2,1.542,0.048,0.0232,3,14,2,1,4,10,0,11,7,8,6,9,12,13,15,5
covtype,100,30,10000,2,1.542,0.048,0.0232,14,7,9,8,10,3,2,12,6,4,11,1,13,15,0,5
covtype,1000,30,10000,2,1.542,0.048,0.0232,7,9,14,8,10,2,6,4,1,12,13,3,0,15,11,5
covtype,10,30,50000,1.7,1.5972,0.0373,0.0175,14,13,9,15,7,10,8,11,2,12,4,3,1,6,0,5
covtype,100,30,50000,1.7,1.5972,0.0373,0.0175,14,7,9,10,8,3,2,12,4,6,11,1,13,0,15,5
covtype,1000,30,50000,1.7,1.5972,0.0373,0.0175,7,14,10,9,8,2,12,1,4,11,6,13,0,3,15,5
covtype,10,30,100000,1.6363636,1.6218,0.0317,0.0134,14,13,15,2,9,3,8,7,10,1,4,11,12,0,6,5
covtype,100,30,100000,1.6363636,1.6218,0.0317,0.0134,10,7,9,14,8,3,12,2,4,6,11,1,13,0,15,5
covtype,1000,30,100000,1.6363636,1.6218,0.0317,0.0134,7,10,9,14,8,2,12,1,4,6,11,0,13,3,15,5
covtype,10,30,500000,1.5714285,1.494,0.0212,0.0071,14,13,15,2,3,7,9,10,11,8,4,1,12,0,6,5
covtype,100,30,500000,1.5714285,1.494,0.0212,0.0071,7,10,9,8,14,3,12,2,4,11,6,1,13,0,15,5
covtype,1000,30,500000,1.5714285,1.494,0.0212,0.0071,10,14,7,9,8,12,2,6,4,1,11,0,13,3,15,5
covtype,10,40,1000,1.6,1.62,0.1525,0.0473,3,2,14,4,1,7,6,9,8,10,11,12,0,13,15,5
covtype,100,40,1000,1.6,1.62,0.1525,0.0473,8,14,7,3,9,2,6,4,1,13,10,11,15,0,12,5
covtype,1000,40,1000,1.6,1.62,0.1525,0.0473,6,7,9,13,14,10,15,8,2,4,5,0,3,1,12,11
covtype,10,40,5000,2,1.542,0.0549,0.0316,2,4,3,1,14,10,9,11,7,8,12,0,6,13,15,5
covtype,100,40,5000,2,1.542,0.0549,0.0316,7,9,14,8,3,2,10,4,1,12,6,11,0,13,15,5
covtype,1000,40,5000,2,1.542,0.0549,0.0316,14,7,9,8,10,6,2,4,1,3,13,15,0,12,11,5
covtype,10,40,10000,1.875,1.515,0.0479,0.0228,14,2,4,9,1,7,11,10,8,3,12,6,0,13,15,5
covtype,100,40,10000,1.875,1.515,0.0479,0.0228,14,7,9,8,10,3,2,12,4,11,1,6,13,15,0,5
covtype,1000,40,10000,1.875,1.515,0.0479,0.0228,14,7,9,8,10,2,4,6,1,12,3,13,15,0,11,5
covtype,10,40,50000,1.7,1.6086,0.0369,0.018,14,13,15,2,4,1,11,9,10,7,8,3,12,6,0,5
covtype,100,40,50000,1.7,1.6086,0.0369,0.018,14,7,9,10,8,3,12,2,4,1,11,6,13,15,0,5
covtype,1000,40,50000,1.7,1.6086,0.0369,0.018,7,9,14,10,8,2,12,4,1,11,6,3,13,0,15,5
covtype,10,40,100000,1.7272727,1.6041,0.0318,0.0132,14,13,15,2,9,10,1,11,4,8,7,3,12,0,6,5
covtype,100,40,100000,1.7272727,1.6041,0.0318,0.0132,14,9,7,10,8,3,12,2,4,11,1,6,13,15,0,5
covtype,1000,40,100000,1.7272727,1.6041,0.0318,0.0132,7,14,9,10,8,12,2,4,11,1,6,13,3,0,15,5
covtype,10,40,500000,1.7142857,1.479,0.0212,0.0071,14,13,15,3,2,9,4,7,10,11,1,8,12,0,6,5
covtype,100,40,500000,1.7142857,1.479,0.0212,0.0071,14,7,10,9,8,12,3,2,4,11,1,6,13,15,0,5
covtype,1000,40,500000,1.7142857,1.479,0.0212,0.0071,10,7,9,14,8,12,2,4,1,11,6,3,13,0,15,5
covtype,10,50,1000,1.8,1.62,0.151,0.0577,14,2,4,9,1,7,10,3,11,8,12,6,0,13,15,5
covtype,100,50,1000,1.8,1.62,0.151,0.0577,3,7,14,9,8,2,4,6,1,11,0,13,15,10,12,5
covtype,1000,50,1000,1.8,1.62,0.151,0.0577,6,10,9,13,7,8,15,14,2,4,5,3,1,0,12,11
covtype,10,50,5000,1.8571428,1.548,0.0532,0.0291,14,2,9,10,3,8,4,7,1,11,12,6,0,13,15,5
covtype,100,50,5000,1.8571428,1.548,0.0532,0.0291,14,7,9,8,3,2,10,4,12,1,11,6,15,13,0,5
covtype,1000,50,5000,1.8571428,1.548,0.0532,0.0291,14,7,9,8,2,10,6,4,1,3,15,13,12,11,0,5
covtype,10,50,10000,2.125,1.488,0.0487,0.0231,14,2,9,10,4,7,1,11,3,8,12,6,13,0,15,5
covtype,100,50,10000,2.125,1.488,0.0487,0.0231,7,14,9,8,10,3,2,12,4,11,6,1,15,13,0,5
covtype,1000,50,10000,2.125,1.488,0.0487,0.0231,7,9,14,8,10,2,4,1,6,3,12,11,13,0,15,5
covtype,10,50,50000,1.7,1.6116,0.0374,0.018,14,13,2,15,9,4,1,7,10,11,8,3,12,6,0,5
covtype,100,50,50000,1.7,1.6116,0.0374,0.018,7,14,9,10,8,3,12,2,4,11,1,6,13,15,0,5
covtype,1000,50,50000,1.7,1.6116,0.0374,0.018,7,9,10,14,8,2,12,4,1,11,6,3,13,0,15,5
covtype,10,50,100000,1.6363636,1.5951,0.0323,0.0134,14,13,9,15,10,2,11,8,4,12,1,7,3,6,0,5
covtype,100,50,100000,1.6363636,1.5951,0.0323,0.0134,14,9,7,10,8,3,12,2,4,11,1,6,13,15,0,5
covtype,1000,50,100000,1.6363636,1.5951,0.0323,0.0134,7,9,14,10,8,12,2,4,1,11,6,3,13,0,15,5
covtype,10,50,500000,1.6428572,1.4976,0.0212,0.0071,14,13,2,15,4,9,7,10,3,11,8,1,12,0,6,5
covtype,100,50,500000,1.6428572,1.4976,0.0212,0.0071,7,9,10,14,8,12,3,2,4,11,1,6,13,15,0,5
covtype,1000,50,500000,1.6428572,1.4976,0.0212,0.0071,7,9,10,14,8,12,2,4,11,1,6,3,13,0,15,5
euro,10,2,169300,1.9166666,0.6716,0.0029318,0.01278554,13,7,10,0,3,2,9,8,4,1,12,6,11,14,15,5
euro,100,2,169300,1.9166666,0.6716,0.0029318,0.01278554,14,10,8,13,7,9,6,12,2,15,0,4,11,3,1,5
euro,1000,2,169300,1.9166666,0.6716,0.0029318,0.01278554,7,10,14,9,8,6,13,12,2,0,4,11,15,1,5,3
euro,10,2,100,5,2.7,0.21374993,0.06702238,3,6,0,2,1,10,8,7,5,4,13,11,9,12,14,15
euro,100,2,100,5,2.7,0.21374993,0.06702238,6,3,13,5,0,10,8,7,2,9,12,1,4,11,15,14
euro,1000,2,100,5,2.7,0.21374993,0.06702238,6,15,14,3,7,9,10,13,8,5,0,2,4,1,12,11
euro,10,2,1000,2,1.53,0.07673395,0.10508113,0,3,6,13,5,2,14,7,1,4,10,8,9,11,12,15
euro,100,2,1000,2,1.53,0.07673395,0.10508113,6,13,0,3,15,5,14,7,8,12,9,10,2,4,1,11
euro,1000,2,1000,2,1.53,0.07673395,0.10508113,6,10,7,14,13,8,15,9,5,0,4,12,11,3,2,1
euro,10,2,10000,2.125,1.083,0.01214665,0.02409657,13,0,14,3,7,6,10,8,11,9,15,2,4,12,1,5
